Date,Day_of_the_week,App_(Use_all_CAPITALS),Minutes,Category
8/24,Thursday,INSTAGRAM,61,Social Media
8/24,Thursday,YOUTUBE,36,Entertainment
8/24,Thursday,X/TWITTER,25,Social Media
8/24,Thursday,SOUNDCLOUD,23,Entertainment
8/24,Thursday,CLASH ROYALE,19,Entertainment
8/24,Thursday,MESSAGES,8,Other
8/24,Thursday,EBAY,7,Other
8/25,Friday,INSTAGRAM,107,Social Media
8/25,Friday,YOUTUBE,98,Entertainment
8/25,Friday,SOUNDCLOUD,48,Entertainment
8/25,Friday,MESSAGES,37,Other
8/25,Friday,X/TWITTER,27,Social Media
8/25,Friday,EBAY,6,Other
8/25,Friday,WHATSAPP,4,Social Media
8/26,Saturday,INSTAGRAM,152,Social Media
8/26,Saturday,SOUNDCLOUD,44,Entertainment
8/26,Saturday,YOUTUBE,42,Entertainment
8/26,Saturday,MESSAGES,40,Other
8/26,Saturday,PHOTOS,21,Other
8/26,Saturday,CAMERA,20,Other
8/26,Saturday,X/TWITTER,9,Social Media
8/27,Sunday,INSTAGRAM,102,Social Media
8/27,Sunday,YOUTUBE,60,Entertainment
8/27,Sunday,PHOTOS,28,Other
8/27,Sunday,SOUNDCLOUD,19,Entertainment
8/27,Sunday,EBAY,7,Other
8/27,Sunday,X/TWITTER,5,Social Media
8/27,Sunday,FINDMY,3,Travel
8/28,Monday,INSTAGRAM,95,Social Media
8/28,Monday,YOUTUBE,47,Entertainment
8/28,Monday,SOUNDCLOUD,25,Entertainment
8/28,Monday,X/TWITTER,16,Social Media
8/28,Monday,PHOTOS,8,Other
8/28,Monday,UBER,5,Travel
8/28,Monday,TRANSFORMERS,4,Entertainment
8/29,Tuesday,YOUTUBE,161,Entertainment
8/29,Tuesday,INSTAGRAM,121,Social Media
8/29,Tuesday,MESSAGES,40,Other
8/29,Tuesday,X/TWITTER,35,Social Media
8/29,Tuesday,PHOTOS,21,Other
8/29,Tuesday,SOUNDCLOUD,17,Entertainment
8/29,Tuesday,CAMERA,13,Other
8/30,Wednesday,YOUTUBE,168,Entertainment
8/30,Wednesday,INSTAGRAM,88,Social Media
8/30,Wednesday,SOUNDCLOUD,29,Entertainment
8/30,Wednesday,X/TWITTER,27,Social Media
8/30,Wednesday,PHOTOS,17,Other
8/30,Wednesday,CAMERA,10,Other
8/30,Wednesday,EBAY,7,Other
8/31,Thursday,INSTAGRAM,105,Social Media
8/31,Thursday,YOUTUBE,24,Entertainment
8/31,Thursday,SOUNDCLOUD,20,Entertainment
8/31,Thursday,X/TWITTER,17,Social Media
8/31,Thursday,MESSAGES,16,Other
8/31,Thursday,EBAY,7,Other
8/31,Thursday,SETTINGS,5,Other
