Timestamp,Five_Times_A_Week,Coffee_Before_class,Preclass_Cups,GPA,Classes_Enrolled
10/30/2023 13:11:25,No,No,0,2.58,4
10/30/2023 13:12:43,No,No,0,2.65,4
10/30/2023 13:23:43,Yes,Yes,3,2.68,5
10/30/2023 13:25:23,No,Yes,1,3.25,3
10/30/2023 13:30:25,No,Yes,2,1.98,4
10/30/2023 13:30:27,Yes,Yes,2,3.6,2
10/30/2023 14:15:59,No,No,1,2.5,3
10/30/2023 14:17:08,No,No,0,3.8,6
10/30/2023 14:17:29,No,Yes,3,2.7,6
10/30/2023 14:19:02,No,Yes,1,3.4,5
10/30/2023 14:19:16,No,No,0,2.6,2
10/30/2023 14:20:15,No,Yes,1,4,2
10/30/2023 14:22:04,No,Yes,1,1.9,4
10/30/2023 14:22:57,No,No,0,2.9,4
10/30/2023 14:23:02,No,No,0,3.1,4
10/30/2023 14:23:23,No,No,0,2.8,3
10/30/2023 14:23:52,No,Yes,2,2,4
10/30/2023 14:24:54,No,Yes,1,3.1,5
10/30/2023 14:25:25,Yes,Yes,2,2.9,5
10/30/2023 14:26:05,No,No,0,1.7,3
10/30/2023 14:26:55,No,No,0,3.1,4
10/30/2023 14:31:38,No,Yes,1,3.7,4
10/30/2023 14:32:17,No,No,0,3.95,4
10/30/2023 14:32:45,No,No,0,2.5,5
10/30/2023 14:33:14,Yes,Yes,3,3.8,6
10/30/2023 14:36:55,No,No,0,3.97,3
10/30/2023 14:38:25,No,No,0,3.86,2
10/30/2023 14:38:58,No,No,0,2.9,3
10/30/2023 14:39:40,No,Yes,1,2.54,3
10/30/2023 14:40:13,No,No,0,4,4
10/30/2023 14:40:23,No,No,0,2.5,4
10/30/2023 14:40:31,No,No,0,3.6,6
10/30/2023 14:40:40,Yes,Yes,0,3.97,5
10/30/2023 14:40:52,Yes,Yes,2,3.57,5
10/30/2023 14:41:01,Yes,Yes,2,3.1,6
10/30/2023 14:41:02,Yes,Yes,1,3.8,4
10/30/2023 14:41:22,Yes,Yes,1,2.9,5
10/30/2023 14:41:45,No,No,0,2.1,4
10/30/2023 14:41:57,No,No,0,3.1,4
10/30/2023 14:42:09,No,Yes,1,3.1,4
10/30/2023 14:42:11,No,No,0,2.6,3
10/30/2023 14:42:34,Yes,Yes,1,2.9,5
10/30/2023 14:42:54,No,Yes,1,2.6,4
10/30/2023 14:43:16,No,No,0,1.9,3
10/30/2023 14:43:37,Yes,Yes,2,3.7,6
10/30/2023 14:44:02,No,Yes,1,2.9,3
10/30/2023 14:45:47,No,No,0,2.4,4
10/30/2023 14:46:19,Yes,Yes,1,3.2,4
10/30/2023 14:46:43,No,Yes,1,2.8,4
10/30/2023 14:47:17,No,Yes,2,3.6,6
10/30/2023 14:47:39,No,No,0,3.49,10
10/30/2023 14:48:16,No,Yes,1,3.1,2
10/30/2023 14:50:19,No,No,2,3.2,4
10/30/2023 14:50:30,No,No,0,4,10
10/30/2023 14:50:39,No,No,0,1.6,4
10/30/2023 14:56:00,Yes,Yes,1,2.4,5
10/30/2023 15:28:26,Yes,Yes,2,0,2
10/30/2023 15:29:41,Yes,Yes,2,3.5,4
10/30/2023 16:29:22,No,No,0,4,7
10/30/2023 16:32:35,No,Yes,1,3.6,4
10/30/2023 16:32:52,Yes,Yes,2,4,5
10/30/2023 18:26:48,No,No,0,2.6,4
10/30/2023 20:55:41,No,Yes,2,3.2,4
10/30/2023 20:56:07,No,No,0,3.23,5
10/30/2023 23:23:15,Yes,Yes,3,3.4,5
10/30/2023 23:23:25,Yes,Yes,1,3,6
10/30/2023 23:23:37,No,No,0,2,2
10/30/2023 23:23:49,No,No,0,3.1,4
10/30/2023 23:24:03,Yes,Yes,3,3.2,5
10/30/2023 23:24:16,No,No,0,2.9,7
10/30/2023 23:24:28,Yes,Yes,1,3.2,4
10/30/2023 23:24:57,Yes,Yes,1,2.1,7
10/30/2023 23:25:13,Yes,Yes,2,2.6,5
10/30/2023 23:25:26,Yes,Yes,1,1.9,4
10/30/2023 23:25:41,Yes,Yes,2,2.9,3
10/30/2023 23:26:03,No,Yes,1,1.1,4
10/30/2023 23:26:24,Yes,Yes,3,3.8,5
10/30/2023 23:26:41,Yes,Yes,1,3.2,4
10/30/2023 23:27:02,Yes,Yes,2,3,4
10/30/2023 23:27:33,No,Yes,2,2.9,6
10/30/2023 23:28:02,Yes,Yes,1,2,4
10/30/2023 23:28:15,Yes,Yes,1,2,4
10/30/2023 23:28:43,Yes,Yes,0,3.2,4
10/30/2023 23:28:56,Yes,Yes,1,3,3
10/30/2023 23:29:10,No,No,0,2.5,4
10/30/2023 23:29:27,No,Yes,2,3.3,4
10/30/2023 23:32:30,No,No,0,3.1,4
10/30/2023 23:32:48,No,No,0,1.7,4
10/30/2023 23:33:02,No,No,0,3.1,5
10/30/2023 23:33:17,Yes,Yes,1,2.1,3
10/30/2023 23:33:34,No,No,0,3.6,5
10/30/2023 23:33:37,Yes,Yes,1,2.9,4
10/30/2023 23:33:49,No,No,0,3,4
10/30/2023 23:34:02,No,No,0,3.6,5
10/30/2023 23:34:17,Yes,Yes,2,2.9,3
10/30/2023 23:34:32,No,No,0,1.5,3
10/30/2023 23:34:44,Yes,Yes,1,2.7,4
10/30/2023 23:34:59,Yes,Yes,2,3.1,4
10/30/2023 23:35:12,No,No,1,1.9,4
10/30/2023 23:35:32,No,Yes,2,2.2,4
10/30/2023 23:35:50,No,No,0,2.1,1
10/30/2023 23:37:22,Yes,Yes,1,3.2,2
10/30/2023 23:37:52,Yes,Yes,1,3.12,3
